Card name;Link product;Bank;Image card link
Красная карта 2.0;https://myfin.by/bank/alfabank/karty/224-krasnaya-karta;Альфа-БанкVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
100 дней;https://myfin.by/bank/alfabank/karty/296-100-dneyi;Альфа-БанкVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
Карта рассрочки Халва MIX;https://myfin.by/bank/mtbank/karty/174-halva;МТБанкMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
Карта рассрочки Халва MAX;https://myfin.by/bank/mtbank/karty/272-halva-max;МТБанкMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
Карта рассрочки «Магнит»;https://myfin.by/bank/belarusbank/karty/198-karta-rassrochki-magnit;БеларусбанкMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
Классик;https://myfin.by/bank/technobank/karty/52-kreditnaya-karta-klassik;ТехнобанкVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
Автогрейс;https://myfin.by/bank/btabank/karty/297-avtogreyis;БТА БанкVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
Карта твоих возможностей;https://myfin.by/bank/btabank/karty/222-karta-tvoih-vozmozhnosteyi;БТА БанкVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
НКЛ (неустойка);https://myfin.by/bank/technobank/karty/55-nevozobnovlyaemaya-kreditnaya-kartochka-neustoyika;ТехнобанкMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
НКЛ (поручительство);https://myfin.by/bank/technobank/karty/56-nevozobnovlyaemaya-kreditnaya-kartochka-s-poruchiteljstvom;ТехнобанкMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
Всегда под рукой;https://myfin.by/bank/belinvestbank/karty/151-vsegda-pod-rukoyi;БелинвестбанкVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
На раз (неустойка);https://myfin.by/bank/belagroprombank/karty/11-kryedytka-sa-znzhkayi-pod-neustoyiku;БелагропромбанкMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
На раз (поручительство);https://myfin.by/bank/belagroprombank/karty/79-kryedytka-sa-znzhkayi-pod-poruchitelstvo;БелагропромбанкMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
Яркая кредитка;https://myfin.by/bank/bvebank/karty/218-yarkaya-kreditka;Банк БелВЭБVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
R-Кредитка;https://myfin.by/bank/reshenie/karty/303-r-kreditka;Банк РешениеVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
Новая;https://myfin.by/bank/dabrabyt/karty/279-novaya;Банк ДабрабытMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
Суперсила;https://myfin.by/bank/belagroprombank/karty/295-supersila;БелагропромбанкMastercard;https://myfin.by/images/new/img_preloader_logo_new.svg
Кредитный Cashalot;https://myfin.by/bank/belgazprombank/karty/304-kreditnyyi-cashalot;БелгазпромбанкVisa;https://myfin.by/images/new/img_preloader_logo_new.svg
Отличник (для клиентов);https://myfin.by/bank/bank-vtb/karty/1-otlichnik-dlya-klientov;Банк ВТБ (Беларусь)Visa;https://myfin.by/images/new/img_preloader_logo_new.svg
Портмоне 2.0;https://myfin.by/bank/bank-vtb/karty/6-portmone-kreditno-sberegateljnaya;Банк ВТБ (Беларусь)Visa;https://myfin.by/images/new/img_preloader_logo_new.svg
